company_code,ticker_symbol,company_name,market,shariah_board,sector,subsector,classification,timestamp
8230,8230,شركة الراجحي للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898288
8020,8020,شركة ملاذ للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898304
8030,8030,شركة المتوسط والخليج للتأمين وإعادة التأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898321
8010,8010,الشركة التعاونية للتأمين,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898342
8300,8300,الشركة الوطنية للتأمين,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898359
8280,8280,شركة ليفا للتأمين,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898375
8070,8070,شركة الدرع العربي للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898392
8160,8160,شركة التأمين العربية التعاونية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898410
8200,8200,الشركة السعودية لإعادة التأمين,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898426
8170,8170,شركة الاتحاد للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898443
8311,8311,شركة عناية السعودية للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898460
8190,8190,الشركة المتحدة للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898476
8260,8260,الشركة الخليجية العامة للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898493
8250,8250,مجموعة الخليج للتأمين,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898509
8240,8240,شركة تشب العربية للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898525
8180,8180,شركة الصقر للتأمين التعاوني,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898542
2030,2030,شركة المصافي العربية السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898559
2120,2120,الشركة السعودية للصناعات المتطورة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898575
2190,2190,شركة البنى التحتية المستدامة القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898591
4080,4080,شركة سناد القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898608
4130,4130,شركة درب السعودية الأستثمارية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898624
3007,3007,شركة زهرة الواحة للتجارة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898641
1201,1201,شركة تكوين المتطورة للصناعات,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898657
1210,1210,شركة الصناعات الكيميائية الأساسية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898673
1211,1211,شركة التعدين العربية السعودية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898690
1212,1212,مجموعة أسترا الصناعية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898706
1213,1213,شركة نسيج العالمية التجارية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898722
1214,1214,شركة الحسن غازي إبراهيم شاكر,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898739
2070,2070,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898755
2150,2150,شركة الصناعات الزجاجية الوطنية,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898772
2180,2180,شركة تصنيع مواد التعبئة والتغليف,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898788
2220,2220,الشركة الوطنية لتصنيع وسبك المعادن,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898805
2230,2230,الشركة الكيميائية السعودية القابضة,تاسي,الراجحي المالية,,,شرعي,2025-08-23T07:35:13.898821
